playerID,award,year
Igor Shesterkin,Vezina,2021
Marc-Andre Fleury,Vezina,2020
Connor Hellebuyck,Vezina,2019
Andrei Vasilevskiy,Vezina,2018
Pekka Rinne,Vezina,2017
Sergei Bobrovsky,Vezina,2016
Braden Holtby,Vezina,2015
Carey Price,Vezina,2014
Tuukka Rask,Vezina,2013
Sergei Bobrovsky,Vezina,2012
Cale Makar,Norris,2021
Adam Fox,Norris,2020
Roman Josi,Norris,2019
Mark Giordano,Norris,2018
Victor Hedman,Norris,2017
Brent Burns,Norris,2016
Drew Doughty,Norris,2015
Erik Karlsson,Norris,2014
Duncan Keith,Norris,2013
P.K. Subban,Norris,2012
Patrice Bergeron,Selke,2021
Aleksander Barkov,Selke,2020
Sean Couturier,Selke,2019
Ryan O'Reilly,Selke,2018
Anze Kopitar,Selke,2017
Patrice Bergeron,Selke,2016
Anze Kopitar,Selke,2015
Patrice Bergeron,Selke,2014
Patrice Bergeron,Selke,2013
Jonathan Toews,Selke,2012
Kyle Connor,Lady Byng,2021
Jaccob Slavin,Lady Byng,2020
Nathan MacKinnon,Lady Byng,2019
Aleksander Barkov,Lady Byng,2018
William Karlsson,Lady Byng,2017
Johnny Gaudreau,Lady Byng,2016
Anze Kopitar,Lady Byng,2015
Jiri Hudler,Lady Byng,2014
Ryan O'Reilly,Lady Byng,2013
Matrin St. Louis,Lady Byng,2012
Auston Matthews,Lindsay,2021
Connor McDavid,Lindsay,2020
Leon Draisaitl,Lindsay,2019
Nikita Kucherov,Lindsay,2018
Connor McDavid,Lindsay,2017
Connor McDavid,Lindsay,2016
Patrick Kane,Lindsay,2015
Carey Price,Lindsay,2014
Sidney Crosby,Lindsay,2013
Sidney Crosby,Lindsay,2012